genome	rate	I_alg	S_alg	k	d	kmer_count	index_bytes	Unnamed: 9	pref	S_time_s	S_mem_kb	I_time_s	I_mem_kb	Q_time_s	Q_mem_kb	qType	num_queries	SI_time_s	SI_mem_kb	Q_time_mus_per_query	Q_mem_bits_per_kmer
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	cbl	none	17	na	314796150	1081325948	cbl.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_17.d_na	na	na	na	265.96000000000004	1905200	10.01	1494948	Pos	1000000	265.96000000000004	1905200	10.01	37.99151927366329
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	cbl	none	17	na	314796150	1081325948	cbl.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_17.d_na	na	na	na	265.96000000000004	1905200	12.09	1494948	Str	999964	265.96000000000004	1905200	12.090435255669204	37.99151927366329
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	fmsi	global	17	na	314796150	108989775	fmsi.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_global.k_17.d_na	na	1009.18	14441784	123.08	5923384	8.35	115792	Neg	1000000	1132.26	14441784	8.35	2.942653523558023
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	fmsi	global	17	na	314796150	108989775	fmsi.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_global.k_17.d_na	na	1009.18	14441784	123.08	5923384	5.42	115792	Pos	1000000	1132.26	14441784	5.42	2.942653523558023
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	fmsi	global	17	na	314796150	153559527	fmsi.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_global.k_17.d_na	na	1009.18	14441784	123.08	5923384	2.28	159324	Str	999964	1132.26	14441784	2.280082082954986	4.04894405474781
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	sbwt	none	17	0	314796150	344192216	sbwt.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_17.d_0	na	na	na	389.51	6127376	2.3699999999999997	365504	Neg	1000000	389.51	6127376	2.3699999999999997	9.288652354865205
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	sbwt	none	17	0	314796150	344192216	sbwt.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_17.d_0	na	na	na	389.51	6127376	2.29	365504	Pos	1000000	389.51	6127376	2.29	9.288652354865205
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	sbwt	none	17	0	314796150	424931840	sbwt.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_17.d_0	na	na	na	389.51	6127376	0.59	444264	Str	999964	389.51	6127376	0.5900212407646676	11.290201611423774
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	sbwt	none	17	1	314796150	154083354	sbwt.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_17.d_1	na	na	na	237.07999999999998	3082480	18.57	179944	Neg	1000000	237.07999999999998	3082480	18.57	4.572965711302378
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	sbwt	none	17	1	314796150	154083354	sbwt.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_17.d_1	na	na	na	237.07999999999998	3082480	20.25	179944	Pos	1000000	237.07999999999998	3082480	20.25	4.572965711302378
